paper,subject,trial_number,trial_looking_time,age_in_days
brandone_2009,brandone_2009.1.1_successfulreaching10.32,4,3,275.8
brandone_2009,brandone_2009.1.1_successfulreaching10.32,5,11.37,275.8
brandone_2009,brandone_2009.1.1_successfulreaching10.32,6,9.97,275.8
brandone_2009,brandone_2009.1.1_successfulreaching10.32,7,9.85,275.8
brandone_2009,brandone_2009.1.1_successfulreaching10.32,8,9.68,275.8
brandone_2009,brandone_2009.1.1_successfulreaching10.32,9,9.37,275.8
brandone_2009,brandone_2009.1.1_successfulreaching10.38,1,14,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.38,2,14.02,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.38,3,12.67,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.38,4,12.78,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.38,5,7.42,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.38,6,6.22,279.7
brandone_2009,brandone_2009.1.1_successfulreaching10.34,1,5.43,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.34,2,7.03,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.34,3,16.52,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.34,4,13.57,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.34,5,14.18,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.34,6,13.43,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.34,7,11.53,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.34,8,12.45,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.34,9,2.9,308.4
brandone_2009,brandone_2009.1.1_successfulreaching10.31,1,12.95,307.4
brandone_2009,brandone_2009.1.1_successfulreaching10.31,2,11.5,307.4
brandone_2009,brandone_2009.1.1_successfulreaching10.31,3,16.2,307.4
brandone_2009,brandone_2009.1.1_successfulreaching10.31,4,12.6,307.4
brandone_2009,brandone_2009.1.1_successfulreaching10.31,5,15.1,307.4
brandone_2009,brandone_2009.1.1_successfulreaching10.31,6,8.08,307.4
brandone_2009,brandone_2009.1.1_successfulreaching10.31,7,9.5,307.4
brandone_2009,brandone_2009.1.1_successfulreaching10.31,8,8.8,307.4
brandone_2009,brandone_2009.1.1_successfulreaching10.31,9,9.5,307.4
brandone_2009,brandone_2009.1.1_successfulreaching10.39,1,10.5,304.4
