subject,dishab_trial_num,dishab_diff,agedays,complexity,sd_volatility,mad_volatility,cv_volatility,range_volatility,mad_robust_volatility,garch_volatility,decay_rate,decay_rates_random,group,age_in_months,age
brandone_2009.1.1_failedreaching10.319,11,1.3350010667323402,297.3,complex,2.3026795984967894,1.8639999999999999,0.36377244841971396,7.300000000000001,1.7999999999999998,NA,-0.34291190747439393,-0.04712142477607909,infants,NA,NA
brandone_2009.1.1_failedreaching10.325,11,1.6952992030404928,318.6,complex,3.1681750793372094,2.2039999999999997,0.45782876869034816,11.2,2.0500000000000003,1.638031976813724,-0.326550666776592,-0.08007935914241268,infants,NA,NA
brandone_2009.1.1_failedreaching10.305,11,-0.6661185081720262,292.2,complex,3.334816336771787,2.4119999999999995,0.3918703098439233,11.899999999999999,1.5999999999999996,NA,-0.3077747417113728,-0.04507832326510981,infants,NA,NA
brandone_2009.1.1_failedreaching10.320,11,0.9219887529887931,317.5,complex,5.547612098912468,4.152,0.6406018589968209,16,3.0999999999999996,4.275819439659178,-0.3016821160951235,-0.019917885063028967,infants,NA,NA
brandone_2009.1.1_failedreaching10.323,11,-0.5485659517488379,313.5,complex,1.3874036503083338,1.072,0.16020827370765978,4.6000000000000005,0.9499999999999997,1.0960244312388818,-0.3031540398835467,-0.04032219002842918,infants,NA,NA
brandone_2009.1.1_failedreaching10.307,6,0.505935638471799,292.2,complex,7.304245340895936,5.111999999999999,0.8009040943964844,17.799999999999997,1.5999999999999996,NA,-0.3430465045523623,-0.09125382967886772,infants,NA,NA
brandone_2009.1.1_failedreaching10.308,11,-0.33647223662121295,301.4,complex,1.7112698339082717,1.52,0.1836126431232051,5.1,1.200000000000001,1.460052559757606,-0.28703005797717873,-0.04912882177175398,infants,NA,NA
brandone_2009.1.1_failedreaching10.301,11,0.3262157364540237,297.3,complex,3.2597886775406506,2.6159999999999997,0.33536920550829735,9.4,2.8,3.0982966380914565,-0.27285573900725346,-0.06351325533288042,infants,NA,NA
brandone_2009.1.1_failedreaching10.324,11,1.6969253665572164,289.2,complex,5.134945634246449,4.05,0.523439921941534,14.5,3.55,3.780289131647505,-0.2679391464623849,-0.07928711176543601,infants,NA,NA
brandone_2009.1.1_failedreaching10.312,11,0.9330978501905363,299.3,complex,3.9593630239668043,2.77,0.3885537805659278,13.6,1.950000000000001,3.652672199507553,-0.26216270963927557,-0.0531579848219684,infants,NA,NA
